r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,median,mm
256,254,254,254,255,254,254,254,254,255,254,-48
285,285,285,285,282,285,284,285,285,285,285,-46
309,312,312,312,312,313,312,312,312,312,312,-44
341,341,340,340,340,341,340,340,341,340,340,-42
362,362,362,362,361,362,362,362,362,362,362,-40
384,384,384,384,384,384,384,384,384,384,384,-38
409,408,409,409,409,409,409,409,409,409,409,-36
430,428,428,428,428,428,428,428,428,428,428,-34
451,451,451,451,451,448,447,447,447,447,449.5,-32
469,469,469,469,468,468,468,468,468,468,468,-30
484,484,484,484,484,485,485,484,484,485,484,-28
505,505,504,504,505,505,505,505,504,504,505,-26
518,518,518,518,518,523,523,523,523,523,520.5,-24
540,540,541,540,540,541,542,550,550,549,541,-22
558,558,558,558,559,558,558,558,559,559,558,-20
574,577,577,577,577,577,577,577,576,577,577,-18
590,589,589,589,590,591,591,591,591,591,590.5,-16
612,604,605,606,608,608,608,608,608,609,608,-14
620,620,629,627,623,625,623,623,623,623,623,-12
635,635,635,635,636,635,636,635,635,635,635,-10
654,653,653,653,653,653,654,653,653,653,653,-8
663,663,663,663,663,663,663,663,663,663,663,-6
673,673,673,673,674,674,673,673,673,673,673,-4
701,699,690,690,690,690,690,690,690,690,690,-2
705,704,705,705,705,705,705,707,705,705,705,0
719,719,721,720,719,721,721,721,721,721,721,2
735,734,735,734,734,734,734,735,737,737,734.5,4
747,749,749,749,749,750,750,750,750,750,749.5,6
765,765,764,765,764,765,765,764,765,764,765,8
777,777,777,776,777,776,776,777,776,776,776.5,10
784,787,788,790,790,790,790,790,791,791,790,12
793,797,801,801,801,803,803,803,803,804,802,14
817,819,819,819,819,819,819,819,819,819,819,16
835,835,835,835,835,835,835,834,835,835,835,18
859,859,860,859,859,859,859,859,859,859,859,20
873,873,873,873,873,873,873,873,874,874,873,22
888,888,888,888,888,888,888,888,888,888,888,24
904,904,909,908,905,906,908,908,907,907,907,26
922,921,921,921,921,922,922,923,923,922,922,28
936,936,936,935,934,933,933,934,935,938,935,30
950,951,950,951,950,950,950,951,951,950,950,32
958,960,963,964,967,969,969,969,969,969,968,34
981,981,981,981,981,981,981,981,981,981,981,36
998,999,998,999,999,998,999,999,999,999,999,38
1020,1020,1019,1022,1020,1020,1020,1020,1019,1020,1020,40
